timestamp_utc,bucket_12s,wavelength,filepath,filesize_bytes,hash_md5,exptime,naxis1,naxis2
2017-09-06T12:01:57.350,12_01_48,171,raw\aia.lev1.171A_2017_09_06T12_01_57.35Z.image_lev1.fits,11675520,108af13058cba47e48505ab89cd86ccd,2.000157,4096,4096
2017-09-06T12:02:03.640,12_02_00,335,raw\aia.lev1.335A_2017_09_06T12_02_03.64Z.image_lev1.fits,6978240,19cc2c315f8134978c7c330750bc2cd7,0.693596,4096,4096
2017-09-06T12:02:07.380,12_02_00,193,raw\aia.lev1.193A_2017_09_06T12_02_07.38Z.image_lev1.fits,7096320,dad9c73e6f45eec6bc4119298d24b07a,0.009782,4096,4096
2017-09-06T12:02:09.350,12_02_00,171,raw\aia.lev1.171A_2017_09_06T12_02_09.35Z.image_lev1.fits,11672640,34352faf4c83ba1caf6cb5e374f3ba30,2.000173,4096,4096
2017-09-06T12:02:10.530,12_02_00,131,raw\aia.lev1.131A_2017_09_06T12_02_10.53Z.image_lev1.fits,6894720,0196f38f433d46d54e6f9bb466aea2fa,0.004866,4096,4096
2017-09-06T12:02:12.630,12_02_12,335,raw\aia.lev1.335A_2017_09_06T12_02_12.63Z.image_lev1.fits,7217280,a6c5d35d0b58b8636f0c9e912e32b132,2.900161,4096,4096
2017-09-06T12:02:13.480,12_02_12,211,raw\aia.lev1.211A_2017_09_06T12_02_13.48Z.image_lev1.fits,7303680,b318e4e70b4d109d11bc63b2e162178e,0.100221,4096,4096
2017-09-06T12:02:14.860,12_02_12,94,raw\aia.lev1.94A_2017_09_06T12_02_14.86Z.image_lev1.fits,6384960,ff0af103ebf98419a52bf37ebb28c6f7,0.169958,4096,4096
2017-09-06T12:02:16.840,12_02_12,193,raw\aia.lev1.193A_2017_09_06T12_02_16.84Z.image_lev1.fits,11652480,8d28cd74bad5f0670d1e1174631f2d90,2.000032,4096,4096
2017-09-06T12:02:18.620,12_02_12,131,raw\aia.lev1.131A_2017_09_06T12_02_18.62Z.image_lev1.fits,8858880,21e8821d4c6a78448f286fb167c0caac,2.900786,4096,4096
2017-09-06T12:02:21.350,12_02_12,171,raw\aia.lev1.171A_2017_09_06T12_02_21.35Z.image_lev1.fits,11669760,2476f91e099212ebe3a747fc2a6c44f6,2.000155,4096,4096
2017-09-06T12:02:27.440,12_02_24,335,raw\aia.lev1.335A_2017_09_06T12_02_27.44Z.image_lev1.fits,6995520,0dc723c767526048dcb3697c193f17ab,0.832859,4096,4096
2017-09-06T12:02:31.220,12_02_24,193,raw\aia.lev1.193A_2017_09_06T12_02_31.22Z.image_lev1.fits,7185600,062f9ecfa6350559d07da2df4ac94614,0.01468,4096,4096
2017-09-06T12:02:33.340,12_02_24,171,raw\aia.lev1.171A_2017_09_06T12_02_33.34Z.image_lev1.fits,11669760,30dda202346ea5dc8916a56facf206c5,2.000173,4096,4096
