ts,cpu_total_pct,mem_used_bytes,mem_total_bytes,proc_rss_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
1760290480.53625,51.8,17213640704,134892691456,166596608,35831015936,583761425408,440794821547,480406811673
1760290481.0372703,51.7,17205280768,134892691456,166596608,35831015936,583761425408,440794822908,480406813034
1760290481.5379481,51.7,17195094016,134892691456,166596608,35831015936,583761425408,440794840112,480406830327
1760290482.0388117,51.9,17202515968,134892691456,166596608,35831015936,583761425408,440794841057,480406831272
1760290482.5399296,51.6,17202774016,134892691456,166596608,35831015936,583761425408,440794861493,480406851851
1760290483.0412767,52.0,17200222208,134892691456,166596608,35831015936,583761425408,440794864518,480406854876
1760290483.5423763,51.7,17199964160,134892691456,166596608,35831015936,583761425408,440794885542,480406875893
1760290484.0433283,52.1,17204178944,134892691456,166596608,35831015936,583761425408,440794886279,480406876630
1760290484.5441828,51.7,17204232192,134892691456,166596608,35831015936,583761425408,440794902650,480406893366
1760290485.0451713,52.1,17214570496,134892691456,166596608,35831015936,583761425408,440794902971,480406893687
1760290485.546205,51.7,17214259200,134892691456,166596608,35831015936,583761425408,440794919859,480406911066
1760290486.047051,52.1,17228668928,134892691456,166596608,35831015936,583761425408,440794920180,480406911387
1760290486.5479426,52.2,17247752192,134892691456,166596608,35831015936,583761425408,440794936697,480406928610
1760290487.0488117,51.7,17240395776,134892691456,166596608,35831015936,583761425408,440794937018,480406928931
1760290487.5497606,52.1,17258987520,134892691456,166596608,35831015936,583761425408,440794954898,480406946365
1760290488.0507913,51.7,17247604736,134892691456,166596608,35831015936,583761425408,440794955219,480406946686
1760290488.5518076,52.1,17244786688,134892691456,166596608,35831015936,583761425408,440794975648,480406967275
1760290489.0527248,51.7,17233956864,134892691456,166596608,35831015936,583761425408,440794975969,480406967596
1760290489.5536187,52.1,17252167680,134892691456,166596608,35831015936,583761425408,440794992188,480406983860
1760290490.0545025,51.6,17240502272,134892691456,166596608,35831015936,583761425408,440794992509,480406984181
1760290490.5553522,51.6,17240129536,134892691456,166858752,35831015936,583761425408,440795009089,480407001188
1760290491.056254,52.0,17237102592,134892691456,166858752,35831015936,583761425408,440795010450,480407002549
1760290491.5571556,51.6,17237090304,134892691456,166858752,35831015936,583761425408,440795028828,480407021454
1760290492.0578837,52.1,17247465472,134892691456,166858752,35831015936,583761425408,440795029773,480407022399
1760290492.558797,51.7,17247465472,134892691456,167120896,35831015936,583761425408,440795047471,480407040381
1760290493.059942,52.2,17243942912,134892691456,167120896,35831015936,583761425408,440795050496,480407043406
1760290493.5609841,52.2,17260859392,134892691456,167120896,35831015936,583761425408,440795072083,480407065315
1760290494.0618691,51.6,17253122048,134892691456,167120896,35831015936,583761425408,440795072820,480407066052
1760290494.5627255,51.6,17252597760,134892691456,167120896,35831015936,583761425408,440795089458,480407082847
1760290495.0634704,52.2,17277194240,134892691456,167120896,35831015936,583761425408,440795089987,480407083376
1760290495.5645723,51.9,17256939520,134892691456,167120896,35831015936,583761425408,440795108650,480407102344
1760290496.0654423,51.6,17245700096,134892691456,167120896,35831015936,583761425408,440795108971,480407102665
1760290496.5663338,53.3,17261735936,134892691456,167120896,35831015936,583761466368,440795125607,480407120005
1760290497.067271,51.6,17249599488,134892691456,167120896,35831015936,583761466368,440795125928,480407120326
1760290497.5681126,52.1,17268961280,134892691456,167120896,35831015936,583761466368,440795143274,480407138071
1760290498.0691915,51.6,17254789120,134892691456,167120896,35831015936,583761466368,440795143595,480407138392
