ts,cpu_total_pct,mem_used_bytes,mem_total_bytes,proc_rss_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
1760284525.4896145,1.6,17212661760,270310711296,11241271296,57162924032,6976822121472,8507193850289,1017785354770
1760284525.992445,1.6,17212264448,270310711296,11248611328,57162924032,6976822121472,8507193850289,1017785355094
1760284526.4952474,1.6,17218752512,270310711296,11240701952,57162924032,6976822121472,8507193851491,1017785356452
1760284526.998084,1.6,17218379776,270310711296,11247517696,57162924032,6976822121472,8507193851850,1017785356825
1760284527.5009341,1.6,17223983104,270310711296,11239653376,57162924032,6976822121472,8507193853179,1017785358405
1760284528.0038166,1.6,17220706304,270310711296,11246993408,57162924032,6976822121472,8507193853542,1017785358776
1760284528.506638,1.7,17216970752,270310711296,11238604800,57162924032,6976822838272,8507193854378,1017785359704
1760284529.009506,1.6,17214095360,270310711296,11245944832,57162924032,6976822838272,8507193855102,1017785360712
1760284529.512347,1.6,17207607296,270310711296,11238080512,57162924032,6976822838272,8507193855532,1017785361208
1760284530.0152123,1.6,17207103488,270310711296,11244896256,57162924032,6976822838272,8507193855532,1017785361532
1760284530.5180407,1.6,17207840768,270310711296,11237031936,57162924032,6976822838272,8507193856467,1017785362455
1760284531.02089,1.6,17207611392,270310711296,11243847680,57162924032,6976822838272,8507193856467,1017785362779
1760284531.5237267,1.6,17209864192,270310711296,11236507648,57162924032,6976822838272,8507193857820,1017785364111
1760284532.0265605,1.6,17209180160,270310711296,11243323392,57162924032,6976822838272,8507193858311,1017785364816
1760284532.5293665,1.6,17211760640,270310711296,11235983360,57162924032,6976822838272,8507193859515,1017785366128
1760284533.0321918,1.6,17211080704,270310711296,11242274816,57162924032,6976822838272,8507193859515,1017785366128
1760284533.5400004,1.6,17205633024,270310711296,11235983360,57162924032,6976822858752,8507193860718,1017785367501
1760284534.0428395,1.6,17205166080,270310711296,11241750528,57162924032,6976822858752,8507193860718,1017785367501
1760284534.5456924,1.6,17204908032,270310711296,11248566272,57162924032,6976822875136,8507193861916,1017785369058
1760284535.0484805,1.6,17207013376,270310711296,11240701952,57162924032,6976822875136,8507193861916,1017785369058
1760284535.5513072,1.6,17206509568,270310711296,11247517696,57162924032,6976822875136,8507193862761,1017785369990
1760284536.054121,1.6,17206386688,270310711296,11239653376,57162924032,6976822875136,8507193863041,1017785370662
1760284536.556972,1.6,17206263808,270310711296,11246993408,57162924032,6976822875136,8507193863604,1017785371250
1760284537.0597916,1.6,17199882240,270310711296,11239129088,57162924032,6976822875136,8507193864866,1017785372434
1760284537.5626483,4.9,17177567232,270310711296,11245944832,57162924032,6976822875136,8507422293262,1017786594388
1760284538.0653865,3.7,17179099136,270310711296,11262197760,57162924032,6976822875136,8507616343860,1017787658244
1760284538.568255,1.6,17178951680,270310711296,11262197760,57162924032,6976822875136,8507616343950,1017787658568
1760284539.0710852,1.6,17173475328,270310711296,11262197760,57162924032,6976822875136,8507616344363,1017787659006
1760284539.5739331,1.6,17173721088,270310711296,11262197760,57162924032,6976822883328,8507616344453,1017787659006
1760284540.07673,1.6,17189146624,270310711296,11262197760,57162924032,6976822883328,8507616346480,1017787660894
1760284540.5795615,1.6,17189146624,270310711296,11262197760,57162924032,6976822883328,8507616346480,1017787660894
1760284541.0823703,1.6,17192067072,270310711296,11262197760,57162924032,6976822883328,8507616346893,1017787661327
1760284541.585187,1.6,17191616512,270310711296,11262197760,57162924032,6976822883328,8507616347346,1017787661699
1760284542.0879998,1.6,17164890112,270310711296,11262197760,57162924032,6976822883328,8507616348250,1017787662655
1760284542.590849,1.6,17164632064,270310711296,11262197760,57162924032,6976822883328,8507616348340,1017787662979
1760284543.0936928,2.6,17148837888,270310711296,11262197760,57162924032,6976822883328,8507718383608,1017788213469
1760284543.596518,1.6,17149407232,270310711296,11262197760,57162924032,6976822883328,8507718383608,1017788213469
1760284544.0993388,1.6,17156259840,270310711296,11262197760,57162924032,6976822883328,8507718384428,1017788214696
1760284544.6021788,1.6,17155928064,270310711296,11262197760,57162924032,6976822883328,8507718384428,1017788214956
1760284545.1050174,1.6,17153568768,270310711296,11262197760,57162924032,6976822883328,8507718384841,1017788215713
1760284545.6078618,1.6,17163534336,270310711296,11262197760,57162924032,6976822883328,8507718384981,1017788215947
1760284546.1106935,1.7,17171513344,270310711296,11262197760,57162924032,6976822883328,8507718386418,1017788217284
1760284546.6135006,1.7,17179516928,270310711296,11262197760,57162924032,6976822883328,8507718386418,1017788217284
1760284547.1160676,2.6,17194389504,270310711296,11262197760,57162924032,6976822883328,8507718388091,1017788219065
1760284547.6189406,1.6,17189769216,270310711296,11262197760,57162924032,6976822883328,8507718388091,1017788219065
1760284548.1217492,1.7,17206034432,270310711296,11262197760,57162924032,6976822883328,8507718388860,1017788219899
1760284548.6246035,1.7,17224564736,270310711296,11262197760,57162924032,6976822883328,8507718389306,1017788220264
1760284549.127452,1.6,17223352320,270310711296,11262197760,57162924032,6976822883328,8507718389723,1017788221055
1760284549.6302574,1.7,17226952704,270310711296,11262197760,57162924032,6976822883328,8507718389723,1017788221055
1760284550.133077,1.8,17227042816,270310711296,11262197760,57162924032,6976822883328,8507718390219,1017788222116
1760284550.6359203,1.6,17231413248,270310711296,11262197760,57162924032,6976822883328,8507718390525,1017788222248
1760284551.1387556,1.6,17223569408,270310711296,11262197760,57162924032,6976822883328,8507718391089,1017788223025
1760284551.6415713,1.7,17247567872,270310711296,11262197760,57162924032,6976822883328,8507718391445,1017788223391
1760284552.1444097,1.6,17238409216,270310711296,11262197760,57162924032,6976822883328,8507718392351,1017788224206
1760284552.6472774,1.7,17239941120,270310711296,11262197760,57162924032,6976822883328,8507718392707,1017788224572
1760284553.1501558,1.6,17239863296,270310711296,11262197760,57162924032,6976822883328,8507718393121,1017788225007
1760284553.6529872,1.7,17240326144,270310711296,11262197760,57162924032,6976822883328,8507718393477,1017788225373
1760284554.155836,1.6,17241374720,270310711296,11262197760,57162924032,6976822883328,8507718393892,1017788225808
1760284554.6587107,1.7,17241784320,270310711296,11262197760,57162924032,6976822883328,8507718394032,1017788226301
1760284555.161524,1.6,17227169792,270310711296,11262197760,57162924032,6976822883328,8507718394246,1017788226493
1760284555.6643534,1.6,17227145216,270310711296,11262197760,57162924032,6976822883328,8507718394246,1017788226817
1760284556.1671646,1.7,17229828096,270310711296,11262197760,57162924032,6976822883328,8507718395010,1017788227666
1760284556.6700144,1.6,17229828096,270310711296,11262197760,57162924032,6976822883328,8507718395010,1017788228050
1760284557.172873,2.1,17252286464,270310711296,11262197760,57162924032,6976822883328,8507718396614,1017788229778
1760284557.6757002,1.6,17252286464,270310711296,11262197760,57162924032,6976822883328,8507718396614,1017788230380
1760284558.1784973,1.6,17245634560,270310711296,11262197760,57162924032,6976822883328,8507718397028,1017788230812
1760284558.681357,1.7,17263247360,270310711296,11262197760,57162924032,6976822883328,8507718397730,1017788231391
1760284559.1841967,1.6,17258590208,270310711296,11262197760,57162924032,6976822883328,8507718398561,1017788232397
1760284559.6870694,1.7,17277956096,270310711296,11262197760,57162924032,6976822883328,8507718398916,1017788232760
1760284560.189964,1.7,17266040832,270310711296,11262197760,57162924032,6976822883328,8507718400273,1017788234377
1760284560.693247,1.7,17289228288,270310711296,11262197760,57162924032,6976822883328,8507718400626,1017788234739
1760284561.196171,1.6,17287147520,270310711296,11262197760,57162924032,6976822883328,8507718401460,1017788235601
1760284561.6989932,1.7,17301868544,270310711296,11262197760,57162924032,6976822883328,8507718401813,1017788236287
1760284562.2018552,1.6,17301622784,270310711296,11262197760,57162924032,6976822883328,8507718402304,1017788236668
1760284562.7046983,1.6,17311997952,270310711296,11262197760,57162924032,6976822883328,8507718402444,1017788237222
1760284563.2075331,1.7,17319792640,270310711296,11262197760,57162924032,6976822883328,8507718402657,1017788237354
1760284563.7103493,1.6,17313275904,270310711296,11262197760,57162924032,6976822883328,8507718402747,1017788237354
1760284564.2132628,1.9,17312051200,270310711296,11262197760,57162924032,6976822883328,8507718403099,1017788238055
1760284564.7163773,1.6,17312169984,270310711296,11262197760,57162924032,6976822883328,8507718403099,1017788238315
1760284565.2192647,2.2,17338970112,270310711296,11262197760,57162924032,6976822883328,8507718404089,1017788239430
1760284565.7221806,1.6,17344589824,270310711296,11262197760,57162924032,6976822883328,8507718404155,1017788239562
1760284566.2250476,1.6,17340727296,270310711296,11262197760,57162924032,6976822883328,8507718404295,1017788239807
1760284566.7278907,1.8,17344774144,270310711296,11262197760,57162924032,6976822883328,8507718404865,1017788240369
1760284567.2308066,1.6,17341071360,270310711296,11262197760,57162924032,6976822883328,8507718405786,1017788241214
1760284567.7336223,1.9,17356181504,270310711296,11262197760,57162924032,6976822883328,8507718406228,1017788241591
1760284568.2364442,1.6,17351700480,270310711296,11262197760,57162924032,6976822883328,8507718406228,1017788241915
1760284568.7392497,1.8,17349836800,270310711296,11262197760,57162924032,6976822883328,8507718406934,1017788242651
1760284569.2421253,2.0,17265364992,270310711296,11262197760,57162924032,6976822883328,8507749206906,1017788407657
1760284569.74496,2.0,17291866112,270310711296,11262197760,57162924032,6976822883328,8507749207398,1017788408268
1760284570.2478561,1.7,17291538432,270310711296,11262197760,57162924032,6976822883328,8507749207610,1017788408724
1760284570.7511415,1.7,17297649664,270310711296,11262197760,57162924032,6976822883328,8507749207750,1017788408969
1760284571.2540314,1.7,17297625088,270310711296,11262197760,57162924032,6976822883328,8507749208322,1017788409576
1760284571.7568557,1.6,17300074496,270310711296,11262197760,57162924032,6976822883328,8507749208322,1017788409576
1760284572.2596815,1.9,17305583616,270310711296,11262197760,57162924032,6976822883328,8507749209886,1017788411313
1760284572.7624967,1.6,17301454848,270310711296,11262197760,57162924032,6976822883328,8507749209976,1017788411313
1760284573.2653637,2.1,17334132736,270310711296,11262197760,57162924032,6976822883328,8507749212124,1017788413701
1760284573.7681954,1.6,17332350976,270310711296,11262197760,57162924032,6976822883328,8507749212124,1017788413701
1760284574.2711723,3.4,17253490688,270310711296,11262197760,57162924032,6976822883328,8507861087004,1017789003473
1760284574.7741616,4.4,17264144384,270310711296,11262197760,57162924032,6976822883328,8508096834443,1017790288736
1760284575.277032,1.6,17267478528,270310711296,11262197760,57162924032,6976822883328,8508096834443,1017790288736
1760284575.779895,1.7,17284272128,270310711296,11262197760,57162924032,6976822883328,8508096835148,1017790289860
1760284576.2827418,1.6,17287819264,270310711296,11262197760,57162924032,6976822883328,8508096835148,1017790289860
1760284576.7855968,1.7,17296760832,270310711296,11262197760,57162924032,6976822883328,8508096835951,1017790290989
